,0,1,2
0,2314866.7627953505,1963466.6349424052,1142488.0252127056
1,5058120.6092861025,6211647.579249592,6604218.398348903
2,1949905.1940492447,1792732.8287946014,1986287.6695991415
3,2957885.884300547,3066213.5947271814,2837297.9614783637
4,5109012.077090868,4996434.569630503,5253518.087565516
5,4303255.247220691,3724763.369908735,4790224.538052201
6,3824341.2493588077,3932775.389996371,4307691.444492606
7,2933336.432681655,2864650.0395033257,2088865.4549484833
8,1947885.8908895974,1719345.2380078393,1586291.7684115595
9,4957882.928758783,4346214.66817324,5233736.755437985
10,3571326.6705303793,3277427.6924371207,2638917.764088845
11,4290391.627411303,3094455.148750077,3919151.1727501093
12,2518072.630938175,2016098.3934662677,1963763.6665670741
13,6952328.141667328,6252428.197456939,7300786.432861878
14,6238355.031443666,7748343.421691011,5078277.465186678
15,5744073.002686163,6271689.067084216,4869846.670043112
16,29383887.14019359,26340149.51422967,26234295.659655806
17,3774941.24712631,3139279.4959937395,5423214.258818493
18,6940044.876261484,6581829.093404423,8407273.722253097
19,2556158.0276912125,2667159.611485827,1896043.2225544453
20,1291762.2969515272,1024836.7284112554,1489500.1626320893
21,3541009.2969769994,3120903.770088391,1722183.0672217477
22,4443209.674409476,3800374.787513348,3639708.6722144308
23,2763219.726373488,3410897.8097366607,3294170.302787311
24,6605370.90571728,4742910.949191843,5083874.964724379
25,2483110.616152401,2548299.7296986757,3027621.7919601756
26,7223565.107183963,7068923.100494374,7243029.102650735
27,2748338.0299051525,3013698.4817015263,3562182.407560152
28,5467910.74039275,4631101.89372128,8301198.368023765
29,5982644.420829745,4860888.562695926,5244051.810925752
30,3391254.2329314887,2988922.1182964044,2692054.872077007
31,5757494.090053189,6341235.868420898,4500873.1598287355
32,4412821.678912534,3503135.9094601125,4162527.5641886108
33,7832467.910341797,8492063.389356231,8301319.126684518
34,3047913.861444129,2947189.2204276505,2561588.1409722823
35,5954270.879269484,4884424.948102799,4999462.306164022
36,9276419.230684945,7545675.425375605,8616790.05095119
37,19839908.506437544,11936129.124593122,9789428.642979153
38,4258458.646354853,3161484.9959782786,3245194.957422579
39,9933647.560853707,9019381.300984774,15028555.072835365
40,6421422.800312211,6185783.186039701,7442843.607966388
41,1700190.948890514,1454624.8636930503,1673829.2815799697
42,2082835.8949658347,2344756.009777307,2227775.821644439
43,9463404.997293547,8933520.837359192,8270726.508016589
44,6348689.071309461,5120623.866786777,12618319.234573558
45,3393069.0740506025,2697037.529872523,2456869.871552879
46,4235545.430829175,4705781.686903215,2380110.1836926034
