,0,1,2,3,4
0,2314866.7627953505,1963466.6349424052,1142488.0252127056,1013460.0280697844,2059169.7693141908
1,5058120.6092861025,6211647.579249592,6604218.398348903,6299071.919356235,3378939.997521251
2,1949905.1940492447,1792732.8287946014,1986287.6695991415,1509403.9327772013,2403699.4513035174
3,2957885.884300547,3066213.5947271814,2837297.9614783637,2900687.419481773,2884941.980364332
4,5109012.077090868,4996434.569630503,5253518.087565516,3575945.920009539,6456469.422740154
5,4303255.247220691,3724763.369908735,4790224.538052201,4770087.780925468,4470998.829828134
6,3824341.2493588077,3932775.389996371,4307691.444492606,4020848.8535759407,3782989.907766749
7,2933336.432681655,2864650.0395033257,2088865.4549484833,1547881.7446756922,2859890.4981734874
8,1947885.8908895974,1719345.2380078393,1586291.7684115595,1496706.6734463447,2121399.464839147
9,4957882.928758783,4346214.66817324,5233736.755437985,5302100.930187379,6259851.858279406
10,3571326.6705303793,3277427.6924371207,2638917.764088845,2643309.861463613,4295879.822203817
11,4290391.627411303,3094455.148750077,3919151.1727501093,2446735.5258035683,6183648.75435373
12,2518072.630938175,2016098.3934662677,1963763.6665670741,1727894.28400025,2651512.0124102766
13,6952328.141667328,6252428.197456939,7300786.432861878,5888974.709605055,5480779.524677554
14,6238355.031443666,7748343.421691011,5078277.465186678,6001813.374100123,5271741.124100162
15,5744073.002686163,6271689.067084216,4869846.670043112,5061866.107570572,5336023.99699656
16,29383887.14019359,26340149.51422967,26234295.659655806,22550387.55816613,28705682.537858848
17,3774941.24712631,3139279.4959937395,5423214.258818493,5906526.827140379,5753879.086069423
18,6940044.876261484,6581829.093404423,8407273.722253097,7458523.083813185,7158245.614304889
19,2556158.0276912125,2667159.611485827,1896043.2225544453,1911896.4892717758,2351285.6441238998
20,1291762.2969515272,1024836.7284112554,1489500.1626320893,919569.1314593694,1419039.8867565035
21,3541009.2969769994,3120903.770088391,1722183.0672217477,1900191.90622611,2364801.354747795
22,4443209.674409476,3800374.787513348,3639708.6722144308,2896913.549970077,4599254.072152241
23,2763219.726373488,3410897.8097366607,3294170.302787311,2644214.46226358,2960717.246092788
24,6605370.90571728,4742910.949191843,5083874.964724379,5720664.571418141,8002244.708430139
25,2483110.616152401,2548299.7296986757,3027621.7919601756,2263166.731659168,2468619.998048906
26,7223565.107183963,7068923.100494374,7243029.102650735,6631643.617566695,9255993.044473568
27,2748338.0299051525,3013698.4817015263,3562182.407560152,2674917.0923906295,2769809.367001229
28,5467910.74039275,4631101.89372128,8301198.368023765,4652003.676796497,5945935.746518359
29,5982644.420829745,4860888.562695926,5244051.810925752,4969809.007260361,6972820.304646045
30,3391254.2329314887,2988922.1182964044,2692054.872077007,2768088.950472247,2910720.5444611213
31,5757494.090053189,6341235.868420898,4500873.1598287355,4917775.671118602,6308375.628619772
32,4412821.678912534,3503135.9094601125,4162527.5641886108,3351202.902680884,4280976.477765732
33,7832467.910341797,8492063.389356231,8301319.126684518,8986156.250442518,8431532.527964236
34,3047913.861444129,2947189.2204276505,2561588.1409722823,2434881.961513768,3218858.164566216
35,5954270.879269484,4884424.948102799,4999462.306164022,4379837.843037555,5276929.047807281
36,9276419.230684945,7545675.425375605,8616790.05095119,9509461.587740546,11670317.564292194
37,19839908.506437544,11936129.124593122,9789428.642979153,7765905.60919987,38156839.15556617
38,4258458.646354853,3161484.9959782786,3245194.957422579,2871370.6505530714,5393896.46094611
39,9933647.560853707,9019381.300984774,15028555.072835365,11109264.15186525,10431118.228368212
40,6421422.800312211,6185783.186039701,7442843.607966388,6539465.424016188,6788331.200849941
41,1700190.948890514,1454624.8636930503,1673829.2815799697,1501793.2654470964,1761734.0216206748
42,2082835.8949658347,2344756.009777307,2227775.821644439,1705122.6438947741,1953325.4547206003
43,9463404.997293547,8933520.837359192,8270726.508016589,8107788.029586536,9130558.047318073
44,6348689.071309461,5120623.866786777,12618319.234573558,11072204.755670369,7718638.09369064
45,3393069.0740506025,2697037.529872523,2456869.871552879,2076147.450052536,3440073.348577818
46,4235545.430829175,4705781.686903215,2380110.1836926034,2959068.692232644,4283851.354235249
